Designator,Mid X,Mid Y,Rotation,Layer
D44,362.346875,-157.32125,90.0,bottom
D45,83.740625,-176.37125,90.0,bottom
D46,109.934375,-176.37125,90.0,bottom
D47,128.984375,-176.37125,90.0,bottom
D48,148.034375,-176.37125,90.0,bottom
D49,167.084375,-176.37125,90.0,bottom
D5,162.321875,-114.45875,90.0,bottom
D50,186.134375,-176.37125,90.0,bottom
D51,205.184375,-176.37125,90.0,bottom
D52,224.234375,-176.37125,90.0,bottom
D53,243.284375,-176.37125,90.0,bottom
D54,262.334375,-176.37125,90.0,bottom
D55,281.384375,-176.37125,90.0,bottom
D56,300.434375,-176.37125,90.0,bottom
D57,343.296875,-176.37125,90.0,bottom
D58,362.346875,-176.37125,90.0,bottom
D59,100.409375,-195.42125,90.0,bottom
D6,190.896875,-114.45875,90.0,bottom
D60,119.459375,-195.42125,90.0,bottom
D61,138.509375,-195.42125,90.0,bottom
D62,157.559375,-195.42125,90.0,bottom
D63,176.609375,-195.42125,90.0,bottom
D64,195.659375,-195.42125,90.0,bottom
D65,214.709375,-195.42125,90.0,bottom
D66,233.759375,-195.42125,90.0,bottom
D67,252.809375,-195.42125,90.0,bottom
D68,271.859375,-195.42125,90.0,bottom
D69,290.909375,-195.42125,90.0,bottom
D7,209.946875,-114.45875,90.0,bottom
D70,317.103125,-195.42125,90.0,bottom
D71,343.471875,-195.42125,90.0,bottom
D72,362.346875,-195.42125,90.0,bottom
D73,78.978125,-214.47125,90.0,bottom
D74,102.790625,-214.47125,90.0,bottom
D75,126.603125,-214.47125,90.0,bottom
D76,198.040625,-214.47125,90.0,bottom
D77,269.478125,-214.47125,90.0,bottom
D78,293.290625,-214.47125,90.0,bottom
D79,324.246875,-214.47125,90.0,bottom
D8,228.996875,-114.45875,90.0,bottom
D80,343.296875,-214.47125,90.0,bottom
D81,362.346875,-214.47125,90.0,bottom
D82,67.071874,-120.276592,180.0,top
D83,95.646874,-120.276592,180.0,top
D84,114.696874,-120.276592,180.0,top
D85,133.746874,-120.276592,180.0,top
D86,152.796874,-120.276592,180.0,top
D87,181.371874,-120.276592,180.0,top
D88,200.421874,-120.276592,180.0,top
D89,219.471874,-120.276592,180.0,top
D9,248.046875,-114.45875,90.0,bottom
D90,238.521874,-120.276592,180.0,top
D91,267.096874,-120.276592,180.0,top
D92,286.146874,-120.276592,180.0,top
D93,305.196874,-120.276592,180.0,top
D94,324.246874,-120.276592,180.0,top
D95,352.821874,-120.276592,180.0,top
D96,67.071874,-144.089092,180.0,top
D97,86.121874,-144.089092,180.0,top
D98,105.171874,-144.089092,180.0,top
D99,124.221874,-144.089092,180.0,top
H1,62.309375,-82.07375,0.0,top
H2,155.178125,-82.07375,0.0,top
H3,340.915625,-82.07375,0.0,top
H4,64.690625,-229.71125,0.0,top
H5,59.928125,-174.9425,0.0,top
H6,300.434375,-213.0425,0.0,top
H7,200.421875,-229.71125,0.0,top
H8,355.203125,-229.71125,0.0,top
J1,324.628125,-92.48,90.0,top
R1,259.953125,-84.455,180.0,bottom
R2,336.153125,-96.36125,0.0,top
R3,336.153125,-93.98,0.0,top
R4,57.546875,-120.17375,0.0,top
S1,324.246875,-140.0937,0.0,top
S2,321.865625,-178.1937,0.0,top
S3,78.978125,-197.2437,0.0,top
S4,188.515625,-216.2937,0.0,top
SW1,67.071875,-113.2932,0.0,top
SW10,267.096875,-113.2932,0.0,top
SW11,286.146875,-113.2932,0.0,top
SW12,305.196875,-113.2932,0.0,top
SW13,324.246875,-113.2932,0.0,top
SW14,352.821875,-113.2932,0.0,top
SW15,67.071875,-137.1057,0.0,top
SW16,86.121875,-137.1057,0.0,top
SW17,105.171875,-137.1057,0.0,top
SW18,124.221875,-137.1057,0.0,top
SW19,143.271875,-137.1057,0.0,top
SW2,95.646875,-113.2932,0.0,top
SW20,162.321875,-137.1057,0.0,top
SW21,181.371875,-137.1057,0.0,top
SW22,200.421875,-137.1057,0.0,top
SW23,219.471875,-137.1057,0.0,top
SW24,238.521875,-137.1057,0.0,top
SW25,257.571875,-137.1057,0.0,top
SW26,276.621875,-137.1057,0.0,top
SW27,295.671875,-137.1057,0.0,top
SW28,324.246875,-137.1057,0.0,top
SW29,352.821875,-137.1057,0.0,top
SW3,114.696875,-113.2932,0.0,top
SW30,71.834375,-156.1557,0.0,top
SW31,95.646875,-156.1557,0.0,top
SW32,114.696875,-156.1557,0.0,top
SW33,133.746875,-156.1557,0.0,top
SW34,152.796875,-156.1557,0.0,top
SW35,171.846875,-156.1557,0.0,top
SW36,190.896875,-156.1557,0.0,top
SW37,209.946875,-156.1557,0.0,top
SW38,228.996875,-156.1557,0.0,top
SW39,248.046875,-156.1557,0.0,top
SW4,133.746875,-113.2932,0.0,top
SW40,267.096875,-156.1557,0.0,top
SW41,286.146875,-156.1557,0.0,top
SW42,305.196875,-156.1557,0.0,top
SW43,329.009375,-156.1557,0.0,top
SW44,352.821875,-156.1557,0.0,top
SW45,74.215625,-175.2057,0.0,top
SW46,100.409375,-175.2057,0.0,top
SW47,119.459375,-175.2057,0.0,top
SW48,138.509375,-175.2057,0.0,top
SW49,157.559375,-175.2057,0.0,top
SW5,152.796875,-113.2932,0.0,top
SW50,176.609375,-175.2057,0.0,top
SW51,195.659375,-175.2057,0.0,top
SW52,214.709375,-175.2057,0.0,top
SW53,233.759375,-175.2057,0.0,top
SW54,252.809375,-175.2057,0.0,top
SW55,271.859375,-175.2057,0.0,top
SW56,290.909375,-175.2057,0.0,top
SW57,321.865625,-175.2057,0.0,top
SW58,352.821875,-175.2057,0.0,top
SW59,78.978125,-194.2557,0.0,top
SW6,181.371875,-113.2932,0.0,top
SW60,109.934375,-194.2557,0.0,top
SW61,128.984375,-194.2557,0.0,top
SW62,148.034375,-194.2557,0.0,top
SW63,167.084375,-194.2557,0.0,top
SW64,186.134375,-194.2557,0.0,top
SW65,205.184375,-194.2557,0.0,top
SW66,224.234375,-194.2557,0.0,top
SW67,243.284375,-194.2557,0.0,top
SW68,262.334375,-194.2557,0.0,top
SW69,281.384375,-194.2557,0.0,top
SW7,200.421875,-113.2932,0.0,top
SW70,307.578125,-194.2557,0.0,top
SW71,333.771875,-194.2557,0.0,top
SW72,352.821875,-194.2557,0.0,top
SW73,69.453125,-213.3057,0.0,top
SW74,93.265625,-213.3057,0.0,top
SW75,117.078125,-213.3057,0.0,top
SW76,188.515625,-213.3057,0.0,top
SW77,259.953125,-213.3057,0.0,top
SW78,283.765625,-213.3057,0.0,top
SW79,314.721875,-213.3057,0.0,top
SW8,219.471875,-113.2932,0.0,top
SW80,333.771875,-213.3057,0.0,top
SW81,352.821875,-213.3057,0.0,top
SW82,352.821875,-91.84875,0.0,top
SW9,238.521875,-113.2932,0.0,top
U1,266.461875,-90.17,90.0,bottom
